id,date,content,username,displayname,followers,retweet_count,like_count,reply_count,quote_count,year,month,day,hour,minute,word_count,is_retweet,has_media,industry,tweet_style,hashtag_count,url_count
922530756,2018-01-01 20:20:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,631,2366,178,53,2018,1,1,20,20,22,False,False,Music,consistent,1,0
312168282,2018-01-02 14:19:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,201,2001,41,12,2018,1,2,14,19,22,False,True,Politics,thoughtful,1,0
906958061,2018-01-02 15:23:00,This is a detailed tweet about Tech. ,BillGates,Bill Gates,62000000,1967,14028,520,156,2018,1,2,15,23,19,False,False,Tech,informative,0,0
455022571,2018-01-03 02:36:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,3552,13053,265,79,2018,1,3,2,36,24,True,False,Politics,thoughtful,1,0
595209585,2018-01-03 17:39:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,650,3936,265,79,2018,1,3,17,39,20,False,False,Music,consistent,0,1
316634148,2018-01-04 10:53:00,This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,263,2356,125,37,2018,1,4,10,53,19,False,False,Music,consistent,0,0
933975060,2018-01-04 19:33:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,405,2857,122,36,2018,1,4,19,33,22,False,False,Music,consistent,0,1
913985351,2018-01-05 05:57:00,Exciting news! 🔥,elonmusk,Elon Musk,150000000,143,586,15,4,2018,1,5,5,57,3,False,False,Tech,erratic,1,0
393852271,2018-01-05 12:00:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,223,2022,154,46,2018,1,5,12,0,25,False,False,Politics,thoughtful,0,0
495684131,2018-01-05 22:57:00,Exciting news! 🔥,elonmusk,Elon Musk,150000000,19,88,5,1,2018,1,5,22,57,1,False,True,Tech,erratic,1,0
534293904,2018-01-06 04:07:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,1145,6625,219,65,2018,1,6,4,7,23,False,False,Music,consistent,1,0
196974609,2018-01-06 07:00:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,1232,9609,700,210,2018,1,6,7,0,29,False,True,Politics,thoughtful,0,1
458820120,2018-01-06 12:45:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,1093,4173,222,66,2018,1,6,12,45,28,False,False,Politics,thoughtful,1,0
453960030,2018-01-07 20:51:00,Great conversation today about innovation and the future.,BillGates,Bill Gates,62000000,549,3247,98,29,2018,1,7,20,51,14,False,False,Tech,informative,0,0
827013211,2018-01-08 01:27:00,Exciting news! 🔥,elonmusk,Elon Musk,150000000,119,775,16,4,2018,1,8,1,27,4,False,False,Tech,erratic,0,1
32033697,2018-01-08 04:16:00,This is a detailed tweet about Science. This is a detailed tweet about Science. ,NASA,NASA,75000000,754,3960,113,33,2018,1,8,4,16,21,False,False,Science,professional,0,1
338584240,2018-01-08 09:42:00,Proud of what we're building. Stay tuned for updates.,elonmusk,Elon Musk,150000000,277,1991,48,14,2018,1,8,9,42,10,False,True,Tech,erratic,1,0
524066380,2018-01-08 11:26:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,533,2480,60,18,2018,1,8,11,26,24,False,False,Music,consistent,0,0
738435405,2018-01-09 16:55:00,This is a detailed tweet about Tech. This is a detailed tweet about Tech. This is a detailed tweet about Tech. ,elonmusk,Elon Musk,150000000,719,4410,270,81,2018,1,9,16,55,33,False,False,Tech,erratic,1,1
53401069,2018-01-09 17:16:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,1202,6647,277,83,2018,1,9,17,16,32,False,False,Politics,thoughtful,1,0
597990814,2018-01-09 18:04:00,This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,1389,5120,354,106,2018,1,9,18,4,19,False,True,Music,consistent,0,0
402785523,2018-01-09 19:52:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,213,1432,48,14,2018,1,9,19,52,24,False,False,Politics,thoughtful,0,0
230361684,2018-01-09 21:46:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,578,2894,113,33,2018,1,9,21,46,22,False,False,Music,consistent,0,0
340079126,2018-01-09 22:34:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,698,2590,161,48,2018,1,9,22,34,22,False,False,Politics,thoughtful,1,0
751280815,2018-01-10 01:43:00,This is a detailed tweet about Science. This is a detailed tweet about Science. ,NASA,NASA,75000000,596,2586,91,27,2018,1,10,1,43,20,False,False,Science,professional,0,1
34225934,2018-01-10 14:58:00,Great conversation today about innovation and the future.,NASA,NASA,75000000,81,799,47,14,2018,1,10,14,58,14,False,False,Science,professional,0,1
307407280,2018-01-10 18:46:00,This is a detailed tweet about Science. ,NASA,NASA,75000000,693,4338,254,76,2018,1,10,18,46,19,False,False,Science,professional,0,1
229167442,2018-01-10 21:00:00,This is a detailed tweet about Tech. ,elonmusk,Elon Musk,150000000,195,1755,42,12,2018,1,10,21,0,16,False,False,Tech,erratic,1,0
922717467,2018-01-11 20:25:00,This is a detailed tweet about Tech. This is a detailed tweet about Tech. ,elonmusk,Elon Musk,150000000,558,3169,247,74,2018,1,11,20,25,27,False,False,Tech,erratic,0,0
984791446,2018-01-11 22:20:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,1033,4039,84,25,2018,1,11,22,20,22,False,True,Music,consistent,2,0
244884719,2018-01-12 04:23:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,1000,8656,228,68,2018,1,12,4,23,22,False,True,Politics,thoughtful,1,0
116693693,2018-01-13 09:24:00,This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,653,2494,153,45,2018,1,13,9,24,17,False,False,Politics,thoughtful,0,0
668329374,2018-01-13 15:21:00,This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,692,3325,97,29,2018,1,13,15,21,19,False,False,Music,consistent,2,0
110282912,2018-01-13 17:40:00,This is a detailed tweet about Science. ,NASA,NASA,75000000,361,1585,63,18,2018,1,13,17,40,17,False,False,Science,professional,0,0
404968144,2018-01-13 18:43:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,774,3770,84,25,2018,1,13,18,43,25,False,False,Politics,thoughtful,0,0
947076683,2018-01-13 22:52:00,This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,1166,4992,289,86,2018,1,13,22,52,19,False,False,Music,consistent,0,0
728819174,2018-01-13 23:17:00,This is a detailed tweet about Science. This is a detailed tweet about Science. ,NASA,NASA,75000000,530,2787,179,53,2018,1,13,23,17,21,False,False,Science,professional,2,0
601047958,2018-01-14 15:53:00,This is a detailed tweet about Tech. This is a detailed tweet about Tech. ,elonmusk,Elon Musk,150000000,390,1468,57,17,2018,1,14,15,53,22,False,False,Tech,erratic,1,0
328002452,2018-01-14 23:10:00,This is a detailed tweet about Science. This is a detailed tweet about Science. ,NASA,NASA,75000000,416,2061,56,16,2018,1,14,23,10,20,False,False,Science,professional,1,1
899635112,2018-01-16 06:15:00,Excited to share our latest project in Science. More soon!,NASA,NASA,75000000,186,1601,60,18,2018,1,16,6,15,13,False,False,Science,professional,0,0
314898533,2018-01-16 11:34:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,439,2864,192,57,2018,1,16,11,34,21,False,False,Music,consistent,0,0
244318307,2018-01-16 14:05:00,Excited to share our latest project in Politics. More soon!,BarackObama,Barack Obama,132000000,98,925,44,13,2018,1,16,14,5,9,False,True,Politics,thoughtful,1,0
942169301,2018-01-17 02:25:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,1005,7584,509,152,2018,1,17,2,25,20,False,False,Music,consistent,0,1
210489313,2018-01-17 10:50:00,Excited to share our latest project in Politics. More soon!,BarackObama,Barack Obama,132000000,311,3009,153,45,2018,1,17,10,50,13,True,False,Politics,thoughtful,0,0
875349859,2018-01-18 19:48:00,This is a detailed tweet about Tech. ,elonmusk,Elon Musk,150000000,365,1666,106,31,2018,1,18,19,48,15,False,False,Tech,erratic,1,0
750594711,2018-01-20 03:23:00,This is a detailed tweet about Tech. This is a detailed tweet about Tech. ,BillGates,Bill Gates,62000000,1202,8669,461,138,2018,1,20,3,23,26,False,True,Tech,informative,1,0
694829427,2018-01-20 14:45:00,This is a detailed tweet about Science. This is a detailed tweet about Science. ,NASA,NASA,75000000,525,2788,167,50,2018,1,20,14,45,20,False,False,Science,professional,1,1
929310590,2018-01-20 22:33:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,325,2587,162,48,2018,1,20,22,33,25,False,False,Politics,thoughtful,0,0
795261961,2018-01-21 13:43:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,319,2176,151,45,2018,1,21,13,43,20,False,True,Music,consistent,0,1
799537663,2018-01-21 16:25:00,This is a detailed tweet about Tech. This is a detailed tweet about Tech. ,BillGates,Bill Gates,62000000,550,3828,209,62,2018,1,21,16,25,23,False,False,Tech,informative,0,0
630000313,2018-01-21 21:33:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,1209,5937,283,84,2018,1,21,21,33,27,False,False,Politics,thoughtful,1,0
621064213,2018-01-22 03:32:00,This is a detailed tweet about Music. This is a detailed tweet about Music. ,taylorswift13,Taylor Swift,95000000,1330,6310,201,60,2018,1,22,3,32,23,False,False,Music,consistent,2,1
355528502,2018-01-22 11:27:00,This is a detailed tweet about Politics. This is a detailed tweet about Politics. ,BarackObama,Barack Obama,132000000,739,6264,353,105,2018,1,22,11,27,26,False,False,Politics,thoughtful,1,0
